Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank credit to bank deposits (%),GFDD.SI.04,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank credit to bank deposits (%),GFDD.SI.04,Panama,PAN,134.2618,131.7734,124.1237,113.0506,138.0235,138.7566,132.113,130.4132,122.5996,137.6692,145.8813,164.8618,177.3282,193.2705,217.5243,192.0744,186.2912,169.808,155.2287,149.1817,142.513,144.0369,129.57,128.6803,123.204,121.3971,124.2003,130.879,142.766,146.4551,108.3172,100.4875,98.22793,102.7289,104.382,109.9589,111.2871,112.3274,119.8033,128.233,124.3958,124.3214,107.7772,103.419,102.5594,108.2006,99.32719,101.6203,102.3803,94.32655,96.20033,102.3426,105.983,109.1847,111.8993,119.5161,123.6593,127.1737,128.2453,129.0403,117.9324,144.937
Bank credit to bank deposits (%),GFDD.SI.04,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..,..,99.56229,62.61412,103.219,69.09455,53.3472,55.41232,50.98637,73.53967,84.59054,89.69123,86.12873,87.47496,87.86602,89.89989,92.20314,94.34235,98.02802,93.49393,83.33222,69.20244,53.84323,60.53994,53.18309,43.22594,50.71092,64.40816,59.33075,59.14526,55.78531,54.07385,56.35522,48.93031,45.99613,44.77483,47.17683,58.7268,53.46304,58.02673,53.52903,53.64968,59.12489,59.36504,56.61583,54.53124,52.93565,59.51093,58.96091,57.68665,..
Bank credit to bank deposits (%),GFDD.SI.04,Paraguay,PRY,211.4431,99.89299,114.3939,108.0344,110.5816,120.1374,137.0332,150.018,157.2542,170.7157,170.264,163.6605,145.4679,137.2806,130.996,120.0181,111.196,105.0517,104.6827,116.1699,114.3601,109.5343,117.9445,105.3242,109.1788,106.9279,111.5416,98.28585,115.2204,98.82919,99.43544,101.36,101.0797,106.4487,117.1594,116.3896,125.9992,136.2609,125.3383,120.0143,122.4219,122.2104,122.0124,86.59126,84.9353,91.62765,95.13504,101.5027,120.5983,113.3064,132.781,150.3548,155.5227,156.8468,164.2863,173.9123,165.4823,149.8095,158.5248,161.8267,139.6064,139.2563
Bank credit to bank deposits (%),GFDD.SI.04,Peru,PER,83.13252,82.17822,84.34782,81.67938,76.0479,74.51923,70.41666,71.875,73.8806,72.57525,60.68796,70.39627,67.58749,67.01492,53.29729,61.54589,58.58896,53.88409,44.31607,43.84845,51.43734,66.65831,58.39263,61.23732,51.71335,47.76101,52.40216,50.38222,49.1253,51.02149,50.86456,56.3264,63.2282,65.92889,78.43828,87.89845,92.6643,100.9418,105.5059,100.8687,99.41924,89.83225,87.31859,84.80907,82.44398,80.45625,75.58862,79.81017,84.85812,83.56039,80.37971,89.07169,89.45945,88.6114,94.47797,108.3578,98.85793,108.5641,113.6733,111.0474,118.1668,108.3095
Bank credit to bank deposits (%),GFDD.SI.04,Philippines,PHL,91.35593,97.63338,94.70013,110.0325,122.9497,122.2228,114.2907,109.8491,106.3347,103.2703,109.1492,109.6546,122.832,125.0448,163.8554,164.8488,151.3397,137.7593,140.4774,160.8292,158.3956,161.8846,154.142,131.0644,104.193,85.23362,68.2714,73.9358,68.68483,65.70804,68.69901,62.49479,68.02772,73.82639,73.6241,85.4379,101.691,102.455,87.20475,75.44434,72.52813,67.6375,62.47876,60.76447,60.02346,55.17232,49.92857,50.8831,55.71119,53.47214,55.32231,60.85786,65.005,57.6507,61.87344,63.76429,65.35923,68.64158,73.56164,72.77304,67.42352,64.24193
Bank credit to bank deposits (%),GFDD.SI.04,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.22978,94.05848,75.39807,70.68871,62.99806,65.26538,69.71623,71.48009,69.02113,72.98325,73.76793,69.88255,74.61229,76.76397,77.88933,75.49107,82.25473,95.96466,110.044,102.9072,102.5258,104.435,100.8052,98.71478,97.43596,96.376,93.30706,92.32576,90.36519,87.29882,78.01118,74.61555
Bank credit to bank deposits (%),GFDD.SI.04,Portugal,PRT,91.86077,99.92005,96.63905,92.56513,88.74689,90.76766,91.30775,87.61839,87.0046,89.03378,92.827,92.09736,89.95152,90.82387,92.23026,114.3108,115.6484,120.6998,114.7897,97.92955,90.4862,87.39378,85.98492,89.36292,84.03519,73.73325,70.37627,66.52789,64.47056,63.60819,66.66694,67.75208,68.70872,68.95382,69.92307,76.53872,85.07861,95.04468,112.7531,..,..,134.7474,148.8981,150.918,154.3044,153.3545,165.1214,176.3043,172.1136,190.6473,183.6783,181.6463,187.1785,174.2578,158.6011,146.7848,129.9534,118.2192,109.2154,98.66707,92.96712,85.19161
Bank credit to bank deposits (%),GFDD.SI.04,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank credit to bank deposits (%),GFDD.SI.04,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,65.01333,65.19254,56.64283,75.55455,84.45058,74.60149,66.95008,80.45044,81.56673,86.36074,82.64086,69.51917,75.18954,81.62875,59.33396,63.27685,71.19268,70.50337,81.77572,81.14827,80.8695,105.5393,132.1638,70.45377,55.9139,59.64065,56.15923,62.61233,66.18806,64.54331,64.01641,58.45245,48.75713,58.89769,63.59439,71.8783,75.10087,80.82429,95.82994,87.93535,78.71335,80.12629,67.70665,64.7972,70.07263,81.67395,90.65733,79.24535,96.93179,113.7933,124.1457,134.9342
