"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","UNIT","FREQUENCY","SCALE","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_MA(10.0.1)","SWZ.BM_SA_SI.XDC.A","OBS_VALUE","Eswatini, Kingdom of","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","COD.BM_MAI.XDC.A","OBS_VALUE","Congo, Democratic Republic of the","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","63761.826","88273.467","114522.211207","208263.491671343","256873.824330349","402085.410831061","605487.402768868","938809.896969619","1466552.92354214","1976389.54487596","2401251.1801192","2897604.39591281","3440626.38804966","3945032.87641071","4315292.3386672","5290769.00418243","7505771.63515059","9581773.02094983","12905289.7249519","18797161.4944359","25340826.4932456","","","",""
"IMF.STA:MFS_MA(10.0.1)","SYC.BM_SA_SI.XDC.A","OBS_VALUE","Seychelles","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","GMB.BM_MAI.XDC.A","OBS_VALUE","Gambia, The","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","2367.31","3202.52282624","4571.41623849","5597.7290276","6048.33390388","7659.94657543","8179.16474839","9664.16066417","11096.986","13076.764","14541.156","15597.902","17877.006","19486.7","","","26853.21579087","31753.64297269","40330.59345334","49408.209331","60149.54609729","64803.4597037","70808.69976677","76349.6711071",""
"IMF.STA:MFS_MA(10.0.1)","CMR.BM_MAI.XDC.A","OBS_VALUE","Cameroon","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019511","1235378","1259436","1353273","1429789","1546001","1775920","2023684","2190264","2492692","2745211","2743594","3057606","3462532","3767336","3955740","4170627","4751923","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","ATG.BM_SA_SI.XDC.A","OBS_VALUE","Antigua and Barbuda","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","ISL.BM_MAI.XDC.A","OBS_VALUE","Iceland","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","343347.285","393963.012","482088.689","560930.422","707930.372","1133532.386","1199894.67789641","1584948.7165161","1624112.39342834","1461357.54681704","1544548.66990648","1473986.81691512","1542586.7483707","1631855.284205","1722791.714699","1642935.750064","1725644.264375","1846297.77912778","1968042.565345","2112996.073127","2342619.762974","2550356.588209","2762558.584343","3084539.852401",""
"IMF.STA:MFS_MA(10.0.1)","BGD.BM_SA_SI.XDC.A","OBS_VALUE","Bangladesh","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","1167995","1338540","1530279","1749399","2029533","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","GHA.BM_MAI.XDC.A","OBS_VALUE","Ghana","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","1197.14555633146","1666.59624320844","2053.92712392631","2614.13935926368","3123.04715956563","4351.67","5954.58584105543","8287.48371787914","10337.7297069796","13637.2985205008","18273.2913937872","22867.0567787976","27326.2595754489","37516.94364842","47111.53319772","57711.16335974","66982.825964","77539.92857583","94098.26204824","120785.61281431","146517.119334907","193442.303341675","265810.44037952","353464.09932907",""
"IMF.STA:MFS_MA(10.0.1)","SYR.BM_MAI.XDC.A","OBS_VALUE","Syrian Arab Republic","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","696091","824943","889359","984727.056","1096750.712","1176649.67","1322945.58483124","1656087.13433482","1798734.45585446","2041039.89194663","1881637.10050475","","","","","","","","","","","","","",""
