Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Azerbaijan,AZE,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.94032,35.40215,8.132194,17.89965,23.82113,39.65221,61.24353,53.71824,55.86052,71.33097,76.27434,86.16708,80.82589,94.77576,106.303,129.9359,146.3437,158.4947,148.8066,133.8522,145.3958,170.2512,168.6363,127.2348,132.3969,99.3254,97.15614,93.7495,98.69848,86.35897
"Bahamas, The",BHS,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,176.1178,210.5549,126.9695,131.9323,197.4893,139.9577,141.0552,107.3339,113.1018,106.9132,103.7831,104.3794,103.7436,97.14458,90.67783,88.53029,93.18755,95.79797,95.93624,95.35483,96.08289,99.66257,96.22031,95.34044,93.25251,97.35152,99.69149,103.5694,105.9529,101.1883,102.0025,106.4548,108.8317,109.7272,106.3323,103.5966,106.9434,115.7494,115.2676,114.6988,113.7681,110.2883,109.3562,109.884,106.9808,106.0587,105.2918,93.70252,89.72364,86.79906,76.47356,75.68644,..
Bahrain,BHR,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.17496,2.131842,10.71735,9.526828,-40.06,-6.668106,-10.52624,-15.30918,4.486364,22.20039,-4.990675,-14.39617,13.47103,1.246284,11.46564,-3.712192,12.41576
Bahrain,BHR,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,74.6289,43.17761,49.66154,63.55386,75.45586,65.80264,72.38503,82.91582,90.12157,93.73696,100.3483,99.36205,99.69139,90.853,103.831,93.37489,73.06316,155.3462,78.85775,85.40626,72.59551,70.30505,56.31189,53.25175,49.84886,57.49531,58.42321,61.62537,70.70663,74.27551,71.57529,69.94139,72.51923,66.52571,72.55054,68.69184,64.36063,69.50542,68.44196,81.63857,80.24402,83.46253,82.16117,98.04623,91.25959,88.0049,98.64594,100.1754,97.94437,86.57893,90.64584,..,..,..,..,..,..
Bangladesh,BGD,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.4395,9.004029,-1.948325,-2.058298,6.908796,19.84906,-0.0730115,-5.013671,-9.018392,-14.44218,25.31093,27.49038
Bangladesh,BGD,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.33054,29.76239,32.63141,44.59002,43.41501,48.11818,50.4571,58.98621,61.73573,62.52676,71.26519,78.18679,73.17207,73.6471,77.70383,79.64568,81.65794,74.77592,66.72051,67.30883,65.53482,84.51999,85.40797,89.43443,90.00192,85.52733,81.74404,65.91986,66.58377,63.73407,66.01543,67.13229,68.73873,70.41162,73.64589,85.76065,90.77443,89.57307,87.06731,82.90532,85.16569,86.48834,89.3372,97.16288,100.08,97.03912,92.61987,94.89819
Barbados,BRB,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,85.40333,76.16033,65.15625,96.42857,106.7611,100.8533,100.5497,116.5523,99.95357,94.29998,94.39673,95.09748,85.41775,83.59301,89.15347,94.14146,92.28812,93.90707,88.75183,84.00191,83.72855,80.57069,79.33754,89.22281,78.92245,82.87189,77.03357,75.24072,76.78239,82.54694,73.0086,77.12415,82.21619,84.69256,79.71591,69.32727,61.54026,62.3862,65.30513,67.31075,71.64812,63.28061,67.67946,70.57799,..,..,87.18014,82.56462,79.13127,75.74393,73.79472,75.2421,75.14576,73.03434,..,..
