FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,1927-Q1,1927-Q2,1927-Q3,1927-Q4,1928-Q1,1928-Q2,1928-Q3,1928-Q4,1929-Q1,1929-Q2,1929-Q3,1929-Q4,1930-Q1,1930-Q2,1930-Q3,1930-Q4,1931-Q1,1931-Q2,1931-Q3,1931-Q4,1932-Q1,1932-Q2,1932-Q3,1932-Q4,1933-Q1,1933-Q2,1933-Q3,1933-Q4,1934-Q1,1934-Q2,1934-Q3,1934-Q4,1935-Q1,1935-Q2,1935-Q3,1935-Q4,1936-Q1,1936-Q2,1936-Q3,1936-Q4,1937-Q1,1937-Q2,1937-Q3,1937-Q4,1938-Q1,1938-Q2,1938-Q3,1938-Q4,1939-Q1,1939-Q2,1939-Q3,1939-Q4,1940-Q1,1940-Q2,1940-Q3,1940-Q4,1941-Q1,1941-Q2,1941-Q3,1941-Q4,1942-Q1,1942-Q2,1942-Q3,1942-Q4,1943-Q1,1943-Q2,1943-Q3,1943-Q4,1944-Q1,1944-Q2,1944-Q3,1944-Q4,1945-Q1,1945-Q2,1945-Q3,1945-Q4,1946-Q1,1946-Q2,1946-Q3,1946-Q4,1947-Q1,1947-Q2,1947-Q3,1947-Q4,1948-Q1,1948-Q2,1948-Q3,1948-Q4,1949-Q1,1949-Q2,1949-Q3,1949-Q4,1950-Q1,1950-Q2,1950-Q3,1950-Q4,1951-Q1,1951-Q2,1951-Q3,1951-Q4,1952-Q1,1952-Q2,1952-Q3,1952-Q4,1953-Q1,1953-Q2,1953-Q3,1953-Q4,1954-Q1,1954-Q2,1954-Q3,1954-Q4,1955-Q1,1955-Q2,1955-Q3,1955-Q4,1956-Q1,1956-Q2,1956-Q3,1956-Q4,1957-Q1,1957-Q2,1957-Q3,1957-Q4,1958-Q1,1958-Q2,1958-Q3,1958-Q4,1959-Q1,1959-Q2,1959-Q3,1959-Q4,1960-Q1,1960-Q2,1960-Q3,1960-Q4,1961-Q1,1961-Q2,1961-Q3,1961-Q4,1962-Q1,1962-Q2,1962-Q3,1962-Q4,1963-Q1,1963-Q2,1963-Q3,1963-Q4,1964-Q1,1964-Q2,1964-Q3,1964-Q4,1965-Q1,1965-Q2,1965-Q3,1965-Q4,1966-Q1,1966-Q2,1966-Q3,1966-Q4,1967-Q1,1967-Q2,1967-Q3,1967-Q4,1968-Q1,1968-Q2,1968-Q3,1968-Q4,1969-Q1,1969-Q2,1969-Q3,1969-Q4,1970-Q1,1970-Q2,1970-Q3,1970-Q4,1971-Q1,1971-Q2,1971-Q3,1971-Q4,1972-Q1,1972-Q2,1972-Q3,1972-Q4,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
Q,Quarterly,SK,Slovakia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:SK:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8644,25.4288,32.6195,35.1038,33.3334,28.5943,13.0071,0.9691,-11.3293,-18.1078,-10.0897,-11.1825,-5.3677,-1.3511,-6.4071,-1.442,-1.0912,-1.996,-0.804,-2.3092,-3.1093,-2.5458,-2.4316,-2.9805,0,1.1494,0.1039,2.1186,-0.4141,1.0331,1.3486,3.3195,5.1975,5.5214,5.7318,4.8193,5.0395,5.9109,7.454,8.2376,3.5748,6.4959,7.2972,5.9292,11.8982,7.1306,4.3661,6.7669,5.6819,8.2599,11.5849,10.9546,13.1336,9.7037,8.3634,7.1227,1.9688,4.7265,8.0506,10.7308,14.181,16.6345,14.5936,9.6908,7.4053,-2.1559,-4.0838,-1.4092,-2.9316,4.0113,6.1624,7.9714,13.1991,11.2982,13.4037,12.7291
Q,Quarterly,AU,Australia,R,Real,628,"Index, 2010 = 100",,,,Q:AU:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1923,31.3875,32.1223,32.5459,33.0828,33.3166,33.5751,34.1541,34.525,34.7481,35.2162,36.7368,37.0118,37.9137,39.6848,40.9404,42.4843,42.1429,40.607,40.1499,39.4901,39.6713,40.4964,39.4723,39.971,39.8772,38.8458,37.883,37.9861,38.0235,37.4213,37.2177,37.69,36.8026,36.335,35.9167,37.2083,38.5322,38.4706,38.008,37.9972,38.8424,39.4072,39.8965,41.4264,41.8558,40.2973,40.4942,39.329,39.6127,37.5919,36.3729,36.5442,37.0336,36.1734,36.9697,38.3508,39.1422,40.2757,39.6222,41.0848,40.541,40.5517,40.3391,40.2975,40.7234,38.5895,37.9594,37.6293,37.499,37.5088,38.6216,39.6329,41.05,44.214,47.6842,51.0595,50.7986,49.6517,48.8948,48.3067,47.9791,47.1819,46.2588,46.3026,46.7659,47.9201,47.4709,47.1548,47.4293,47.4244,47.6609,47.6677,47.8097,47.6294,47.9836,48.3416,48.5653,49.0024,48.3902,48.0623,47.1066,46.6309,46.1914,45.9176,46.178,46.2231,46.2622,46.5979,47.3151,48.3662,49.1841,50.2701,51.068,50.9264,51.5475,52.5037,53.4634,53.9683,55.4509,55.9705,56.859,54.738,55.854,56.4773,58.0085,60.8651,62.5715,64.3675,67.7106,70.0589,72.1318,73.1176,77.0624,81.1368,83.7524,82.6694,81.4775,81.1441,81.8966,81.2375,81.319,80.4072,81.5461,81.7318,83.3813,84.1496,85.752,86.4323,89.2004,91.7497,94.3487,93.5121,91.3627,88.3054,87.3864,87.09,90.2606,93.1827,97.812,99.9381,101.2793,99.3003,99.4926,97.1266,95.5829,93.341,92.5957,93.1009,92.9908,91.5583,93.331,93.6518,95.6504,96.8231,99.9481,100.7728,102.1976,102.9928,104.8923,106.3492,110.524,112.3364,112.0752,112.1271,113.8625,114.7686,118.9033,120.9706,123.0872,122.0887,122.4347,121.0765,119.8216,117.5022,114.1226,110.7129,109.2496,111.2957,114.8594,116.2681,116.4373,115.5427,117.9981,123.6324,130.957,136.3786,141.0273,141.8381,139.772,132.5022,126.7314,124.4225,126.8132,128.8138,130.6211,131.5506,132.9694,134.5531,134.9086,134.2057,135.5363,136.8992,140.3706
Q,Quarterly,SE,Sweden,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SE:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0605,-1.5967,-1.5739,-1.7892,2.2378,0.9075,0.9291,1.7754,1.2346,0.6396,0.7309,-0.6983,-2.6295,-2.0069,0.0095,1.4103,5.8865,8.0756,7.8677,7.7475,5.4929,4.9644,8.8247,5.1929,6.0283,5.1529,0.372,3.0535,-0.8995,1.9615,6.5792,4.4891,6.3735,5.0922,2.5537,0.3601,-5.223,-8.7503,-10.8687,-13.5189,-10.5249,-11.5904,-13.5583,-10.8416,-9.655,-7.6303,-5.1157,-5.0735,-6.6059,-7.7687,-8.8991,-6.7909,-5.7869,-4.187,-2.5041,-3.1335,-2.4973,-3.0866,-3.0934,-3.3072,-1.6495,-1.0323,1.1618,5.0329,8.0347,8.716,7.8289,8.6566,9.7007,10.2153,13.9801,12.491,12.9503,13.4212,11.3627,8.9479,6.0702,2.503,-0.3838,-2.4052,-1.5757,-3.0723,-2.8739,-1.8624,-8.5938,-8.8709,-11.9917,-16.7962,-19.0533,-17.4606,-15.1067,-7.8866,0.6392,3.0582,4.1915,1.5706,-0.3395,-1.6173,-3.3095,-3.2165,-1.9546,-1.8458,1.4702,3.5635,4.5876,6.856,6.3412,5.8338,8.3497,8.4881,10.1494,12.192,9.2501,9.5992,9.2759,7.3836,9.3008,10.1247,10.6359,10.785,10.3737,5.5478,3.7224,2.1999,0.8909,3.2639,5.3515,6.8534,4.8327,5.0921,3.862,4.7939,7.6316,9.2783,9.2032,9.5066,8.1477,7.2519,8.6488,10.029,13.107,11.7411,10.3883,8.2739,8.1824,11.7479,12.6311,7.4992,3.7357,-0.8664,-5.4362,-5.9849,-2.0997,0.2254,4.5812,12.4276,9.4718,7.3945,5.9069,4.0102,2.68,0.827,-0.9696,-3.8512,-2.7307,-0.6934,1.2022,3.7485,4.2196,4.8282,5.0423,6.709,8.618,8.6483,10.5225,10.6419,11.7725,13.2081,13.5676,14.0385,10.2633,7.7854,5.9824,4.9852,6.3312,6.5922,5.2648,0.9781,-2.3374,-3.4946,-4.1022,-1.3379,-0.3455,0.1361,1.4024,1.5346,3.5235,3.136,3.126,4.9362,5.6093,8.9649,9.1741,7.3373,5.413,-0.3582,-7.8157,-13.6686,-16.2763,-15.0838,-11.0355,-7.9678,-5.9809,-4.0208,-1.7833,0.7952,1.1989,0.1804,-0.6072,0.69
Q,Quarterly,DK,Denmark,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:DK:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9506,9.8765,13.0658,18.93,15.4391,19.8502,17.2429,16.436,15.1738,13.0859,17.8114,15.7504,10.6534,3.9724,0.2964,4.8139,11.8742,19.9336,24.0722,15.9216,11.9048,9.2798,6.5379,10.7237,7.921,13.4347,15.354,16.4361,19.9287,17.3631,15.9595,11.3911,10.2991,10.9101,9.844,8.6077,4.13,-3.485,-3.2973,-2.9975,-1.8279,-2.8282,-7.8685,-6.3198,-6.5168,-1.7756,-0.4935,0,9.4513,22.2139,26.7595,27.4693,24.103,12.5191,12.2179,13.9327,12.0764,14.8259,21.6546,19.2609,21.254,16.3578,5.8415,4.8418,-7.3697,-7.8811,-6.071,-8.3333,-0.4835,-0.5836,1.9623,3.7506,1.3582,1.8607,-1.9245,-4.0898,-7.5934,-7.3937,-7.9268,-7.1557,-0.731,0.1057,2.2396,3.6476,0.8907,-0.3636,-1.8608,-5.0859,-5.6975,-6.3331,0,8.6105,16.4399,17.2301,10.3324,5.7956,2.3049,6.0463,10.2241,11.8139,10.9819,9.7857,10.3513,11.6012,12.69,12.8729,12.0182,8.7715,8.1106,9.6508,8.797,9.3437,8.9592,6.1975,6.7063,5.2441,5.164,6.4033,6.8418,7.5635,8.0014,6.5512,5.3611,3.6052,3.1939,3.8188,3.2863,4.1387,2.3599,2.5421,3.6948,4.0235,7.743,10.1613,11.7274,14.06,15.4434,16.3982,21.4184,26.3158,29.404,30.3145,23.4813,14.693,7.4719,2.7027,0.8515,0,-1.7143,-2.6316,-5.3471,-11.0899,-15.6008,-14.8649,-11.893,-4.8387,2.2962,3.1746,3.1496,2.5989,0.8979,0.989,-3.0534,-5.6167,-4.6719,-5.3319,-1.7998,1.4002,2.6838,4.8276,4.4674,3.4522,3.6364,3.8377,3.2895,4.3382,7.1272,6.6526,7.0064,7.0362,5.3224,4.0594,5.3571,4.1833,3.5957,5.138,4.5198,4.4933,5.8161,4.6154,4.5946,3.8426,2.8369,2.6817,2.4117,2.5551,2.069,1.4322,6.1396,10.8247,14.0203,15.3654,11.252,6.6667,4.1481,2.5918,-2.0655,-6.468,-3.9118,-4.7719,0.4364,9.0132,1.1843,3.832,5.2136,3.7063,8.7783,7.3811,6.3317,7.6289
Q,Quarterly,GR,Greece,R,Real,771,"Year-on-year changes, in per cent",,,,Q:GR:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5718,10.1974,9.2046,7.7479,5.5533,5.9266,6.7395,6.1851,6.5946,6.9558,7.6229,7.5102,10.2945,10.8897,10.765,10.7115,9.6338,11.5938,9.4889,8.8433,5.9255,0.3197,1.1059,0.081,-1.628,-0.7011,-0.5114,0.5504,4.182,6.9239,8.0212,9.1599,9.8659,9.6586,8.4628,9.9744,5.8401,4.0938,3.4366,-1.1738,-1.3069,-2.8767,-3.0257,-2.2438,-4.7667,-3.1195,-5.7561,-5.8376,-4.6619,-9.3613,-10.1625,-11.485,-9.6532,-8.3416,-6.956,-9.15,-12.3257,-12.1749,-13.7322,-13.7525,-11.5004,-11.5429,-9.2538,-7.6123,-7.8739,-6.8468,-6.3075,-3.7725,-1.7767,-2.8867,-4.1061,-4.5294,-3.469,-1.6011,-0.7307,-0.5852,-3.2358,-2.3116,-1.6063,-1.2483,0.5954,0.7357,1.292,2.0712,4.7964,7.2451,8.3543,7.3807,6.3444,5.749,5.8866,5.3297,6.2618,6.5606,6.86,5.359,2.4055,-0.2883,0.8469,5.5146,9.2016,12.0198,10.2632,8.8719,7.4881,7.0032,5.5224,4.8498,4.7817,5.4592,5.4853,5.1684
Q,Quarterly,XM,Euro area,R,Real,628,"Index, 2010 = 100",,,,Q:XM:R:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0375,58.8342,58.7068,58.2582,58.017,59.3573,60.4627,60.1192,59.8468,60.6259,61.4758,61.9179,62.4684,63.0266,63.7698,64.4977,65.7718,66.5766,66.3967,64.9734,64.0152,65.0306,67.0864,68.074,68.7297,68.9245,67.4979,65.6337,64.5831,63.8352,63.6232,62.7278,62.3228,62.0532,62.0335,60.5417,59.3977,58.8344,58.6704,57.6988,56.8538,56.3619,56.9022,56.577,56.2058,56.7696,57.6662,57.9112,58.6028,59.2252,59.761,60.9465,61.4289,62.6572,64.2406,64.9214,66.1635,67.0946,68.7612,69.6271,71.2106,72.6684,74.2265,74.1534,74.9516,75.9017,76.5445,76.9064,76.6758,76.7618,77.2134,76.744,75.7431,76.0348,76.4456,76.0524,75.3421,75.2843,75.7195,75.1915,74.5356,74.4139,75.1406,74.7262,74.4816,74.3475,75.2494,75.1375,74.1839,75.1639,75.5137,75.6318,75.0995,75.6339,76.6472,77.2279,77.6572,78.2448,79.8225,80.0084,80.8489,81.6017,82.4572,82.4796,83.372,83.3475,84.6042,84.751,86.0175,86.8357,88.4051,88.4224,89.2049,90.2353,91.6705,92.1403,92.9568,93.9101,95.777,96.5509,98.0365,98.6912,100.2647,100.969,101.8696,102.9089,104.9819,105.454,106.334,106.1809,107.5859,106.5096,106.6949,105.4998,105.0101,103.7411,102.7679,100.6342,100.8944,100.3745,100.0369,99.6551,100.4513,99.8588,99.1674,98.002,98.5139,96.4065,95.606,94.0402,93.5617,92.2724,91.2287,90.4983,91.1691,90.2891,90.5643,90.6939,91.5952,90.937,91.8446,91.5772,92.8423,93.1921,95.034,95.1254,96.6541,96.7118,97.5164,97.7526,99.3986,99.8304,101.0668,100.8435,102.1876,102.683,103.8146,103.8079,105.3541,106.0551,107.9209,108.8648,110.8878,112.6584,113.3928,114.7652,117.7761,117.9402,117.5329,116.2427,115.3011,110.7419,109.3445,107.8117,107.426,106.4285,106.3597,106.6532,108.0641,108.4455,109.4052,109.9423,111.1921,111.6631
Q,Quarterly,PH,Philippines,N,Nominal,628,"Index, 2010 = 100",,,,Q:PH:N:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8009,100.8353,101.118,100.9196,100.1905,100.1924,98.9068,98.396,98.396,99.3225,100.8124,101.4691,102.4175,105.2168,106.31,108.3396,113.1468,114.5038,115.1198,117.0046,121.3693,125.6845,130.0492,134.3643,137.7371,141.0602,144.433,147.8057,151.4761,155.196,158.8664,162.5863,168.1025,175.6318,172.405,174.8635,179.3196,175.9391,175.4782,184.544,182.5465,183.9294,183.3148,185.466,188.1044,195.1776,196.1196,201.7839,202.6184,212.0423,208.5135,209.6731,210.9456,217.1014,218.9644,223.0055,230.1263,238.0161,249.4314,251.8549,253.4098,263.0274,267.7573,259.9342,272.1933,283.7909,288.063,285.3213,292.78,305.2098,293.5066,289.794
Q,Quarterly,MT,Malta,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MT:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8764,22.6549,16.9935,29.4613,29.8556,22.3665,20.3911,13.2639,16.6872,6.7217,11.8329,9.2996,-2.8602,-0.7735,-5.7054,-7.668,-0.2181,1.559,3.4103,-0.4551,-3.0601,-0.4386,-3.1915,1.3715,2.0293,-1.4317,5.4945,6.0879,0.9945,0.6704,-1.7708,-1.3815,1.5317,2.8857,0.3181,5.4957,2.694,3.6677,8.5624,8.1716,5.2466,6.9719,4.7711,4.9103,5.2841,5.9338,5.0186,4.9505,5.3977,6.0606,5.5752,6.1749,6.4691,6.3204,5.9514,5.7351,5.5696,3.9088,2.6899,1.6043,4.5564,5.3291,5.9322,4.5113,6.8043,7.5893,6.3273,5.8993,7.3013,5.2559,5.684,6.6916,6.7245,6.9251,6.9575,6.3992,5.9257,5.6409,5.9603,6.1401
Q,Quarterly,HR,Croatia,N,Nominal,628,"Index, 2010 = 100",,,,Q:HR:N:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0071,47.9528,50.159,51.4212,53.1302,52.9364,53.0999,52.4422,52.0745,53.5075,53.716,54.0598,55.1148,53.9377,50.8439,49.1715,54.7893,55.4749,50.6864,51.9917,55.0351,54.4014,57.4791,57.8411,63.0007,64.811,65.4447,69.9706,71.3284,73.6818,76.3069,81.0138,81.0138,84.4535,85.8113,90.2467,93.7769,95.1346,97.3976,104.0054,107.0831,111.3374,113.2383,112.6952,111.5184,112.2426,114.3245,111.3374,110.9753,107.2641,105.3632,103.4623,101.4709,100.0226,99.1174,99.389,98.4838,100.0226,100.7468,101.3804,100.8373,99.4795,98.7554,95.4062,95.3157,94.6821,95.0441,93.7769,93.1432,93.9579,93.2338,92.4191,91.5139,89.7036,90.4277,90.5182,91.6044,90.7898,91.695,91.2424,91.3329,94.6821,95.1346,98.2123,99.0269,98.9364,101.652,102.7382,106.4494,109.165,109.8891,113.0573,116.1349,118.2168,117.4926,120.3892,121.4754,125.8203,127.9928,131.2514,137.8592,142.9283,147.0016,153.9715,157.1396,162.5707,163.0233,168.5449,171.4415,178.7735,183.0278,185.5623,193.89,202.4893,208.2824,215.3428
Q,Quarterly,XW,World,R,Real,771,"Year-on-year changes, in per cent",,,,Q:XW:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.892,-5.8974,-4.5854,-2.1604,-0.2201,1.7409,2.9074,2.1469,0.7808,-1.3718,-1.9504,-1.913,-1.5946,0.2718,0.5903,0.8995,1.9582,2.1581,2.7981,3.3241,3.149,3.291,2.4272,1.4648,1.2393,1.3083,1.0974,1.5931,1.7212,1.7999,2.6872,3.0306,3.4158,3.1926,3.3594,3.0322,2.4188,2.3414,1.9032,1.9429,2.237,2.2623,1.7652,1.5893,1.2146,1.3026,2.3105,2.6978,4.1645,4.5005,4.7581,5.0739,3.9182,3.7486,1.4541,-0.2494,-1.9038,-3.2493,-2.4195,-2.2405,-1.3471,-0.6302,-1.1554,-1.4194,-1.3321,-1.008,-0.8309,-0.5644,-0.6025
