Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166509702.57138,223594867.335972,265298057.978901,323376838.747386,342425753.029904,417921457.174903,523112274.341877,646305676.491804,770581227.384293,866478231.283188,1038294231.23302,1387912853.56432,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085,5266463583.50313,6455445543.45668,6515581527.60071,8601612921.35767
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.01387609500286,2.48869419936368,-3.58915333544579,-2.03570446250028,-1.51291795411133,-1.91876849654322,-0.1525752133222,0.249904333497333,-1.3211544989028,-1.74427120088412,-5.83174096323551,-15.2788523176905,-7.77398715257512,1.25704931694863,-8.36279155272246,-0.395856545631387,-3.31737383628298,-11.8688813645991,-2.50234871672871,-4.73211838588308,-4.36035543487417,-5.35591452180558,-9.02590739072684,-7.01197673066681,-4.83249013532297,-6.92138800420102,-7.33186374631583,-10.3518884224487,-15.1839581650837,-15.0172385106345,-11.2157643683259,-12.8503659661776,-10.2612568930744,-9.25914166645898,-10.7201496577808,-8.5423750766982,-7.51011690016649,-7.40849329663264,-6.60766481105068,-7.82064355473536,-8.62504716716646,-7.69043385149861,-6.18049276219024,-1.66286217786128,-2.39633981728727,-0.526880926102827
Algeria,DZA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,14.9476416903108,18.1089879234105,15.5450766177048,17.2393183870346,23.524733912597,32.1862150432726,28.4405103631052,35.0087124465106,47.7299373321854,49.1380234302963,42.0064972801395,49.9654113906647,53.5538469381527,49.9043996134953,53.8222767934227,51.9872152450716,48.5083071549849,52.5710549694013,62.1613701712999,65.0671802290122,66.49738338512,68.7298279898722,69.3118504270909,67.5325921773011,68.1467782691188,63.1937151598325,56.1432167218921,46.2891664910387,7.25481764444156,6.61775301930963,6.48910489572955,5.19938703509485,5.36490270870533,3.90741685713155,4.56382248155228,5.38808930151893,5.96563998570152,7.38450388552899,11.2566389037062,10.3642725018405,10.2103283916163,11.5002886298427,11.5208153731445,12.3058156265958,12.1301917581652,14.8475768615458,13.7901331989861,12.5651064123385,12.9086438651722,15.0652748989807,16.4216636360139,19.2203451351034,20.2524548230485,21.8603855833638,22.387148870126,22.9128695368994,26.1172134194462,22.659990400839,18.2397846012834,18.846702518083,19.0341413218985,19.5912759166229
Algeria,DZA,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,10.8956959689503,10.0619840173586,8.95524345229113,13.0091057190414,20.4066813399171,29.6931512320864,27.0411822796371,33.6375512398332,46.5722282586177,48.1584509195656,41.3999117984874,49.4202039767084,53.100023738611,49.5191928422851,53.5018833268331,51.7256944307775,48.3021533111146,52.396028847471,62.0000021502891,64.9238340585244,66.3721965405314,68.7013350288655,69.284137573397,67.5069511515571,68.1230300583799,63.1741073169685,56.1432167218921,46.2891664910387,7.25090617723896,6.61415096098102,6.48669121823566,5.19798042404563,5.36381321454496,3.90461130348484,4.55241107055249,5.3698384101281,5.94905219189264,7.35064830095516,11.2247900124854,10.335213370193,10.1871546670834,11.421127894114,11.5017251839844,12.2855916116841,12.1122581846356,14.8286794932521,13.7742958941425,12.5488742058705,12.8934410793233,15.0524766379275,16.3999184158829,19.1940416812752,20.2346166999021,21.8449886502322,22.3718825950813,22.8981304002728,26.1031661322496,22.6446473775233,18.2286844136791,18.8336494806804,19.0177594233047,19.5645789316229
Algeria,DZA,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,875055899.985,788055899.985,1298758694.98425,2101461489.9835,2521164284.98275,2415569874.98125,1578066995.9534,1599194513.79038,1669672955.09145,1849361532.26165,4536840199.82797,1961345974.72544,4692681118.63088,3375638599.50243,1770203164.1468,2166611825.74072,6705000871.07693,9398084037.30976,5646187810.30782,2001941994.15053,-4776708263.19011,-8056743194.95438,-23874489784.3431,-30415345518.9395,-44377236050.7772,-53825664090.6822,-86121343760.0909,-132644911545.413,-120967349483.5,-89839492048.0095,-79085013176.8763,-87533793092.954,44880824000.9141,302453433196.212,249609946105.998,138950557062.74,757752146279.466,1292722840067.99,1725160996565.29,2308849291123.93,3073048034327.66,4157115346477.56,5501569584488.89,7397799734725.87,10246822511664.3,10758043228803.9,11871426302056.4,13795215800330.3,14810905724457.2,15099127139308,15601795094572.2,15221756802928.6,12442768026262.1,11057963739068.2,9315754502348.63,7428696506192.52,6321299615983.46,5993967399655.94,8119486863303.65,8904967882115.45,10757332953867,9108971998916.31
Algeria,DZA,GDP (current LCU),NY.GDP.MKTP.CN,13446652900,12020492300,9881251800,13344784400,14363469800,15484023800,15007967200,16642189300,19018281000,21018314800,24011524100,24942362600,30318497800,34504847400,55227170800,61444505600,73817292800,86966280200,104558936100,128096878600,162500001800,191400001500,207599992800,233699999700,267600003100,291300016100,299500011500,323699998700,349500014600,423300005900,555800002600,844499976200,1048200020000,1165999996900,1491500007400,1990600032300,2570000007200,2780199911400,2830500102100,3238198000000,4123514000000,4587607000000,4901720000000,5687158000000,6623355000000,7843981000000,8941655000000,9872971000000,11649694000000,10920163000000,13224716000000,15924670000000,17611810000000,18231035000000,19253765000000,18879025000000,19783349000000,21071656000000,22683845000000,23090099000000,20902124000000,25153206000000,32031460000000,33678708000000,36103525000000,37775010000000
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,265802800,311729450,185716410,237218040,194924560,184224560,273085970,442988000,532109700,410627600,352276530,537318203.552705,640169273.520115,1526311528.86446,2474721193.66407,1895709477.25852,2502228024.97402,2590691196.3561,3229638827.8703,5517255564.78123,7063796833.31252,5914588650.26264,4972783276.10337,4010232278.91347,3185336009.37503,4644533024.21647,3842516471.51199,4343099114.61444,3190542198.91584,3085702760.44873,2703474408.40137,3459969140.7763,3317517177.46837,3655668337.88779,4813488033.45638,4164319964.09366,6296459575.24063,9666874794.88809,8452272524.78387,6146079211.16344,13556106802.2149,19625060612.8963,25151012703.1373,35454600266.1696,45691652467.4963,59167068864.0544,81462730475.3241,114972269711.741,148098646076.638,155111906771.678,170461132878.607,191369111470.407,200586904241.375,201436604411.914,186350590140.833,150595236894.628,120788088861.403,104852543743.412,87382910154.0942,71795950714.9485,59434389109.5108,56211005199.3665,71852290093.8578,81216738411.6242,83007108429.3211,72495669205.7541
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.0870548965505,-13.4259208511014,-4.90878514317359,0.58830768594436,0.202716806207838,-0.405106016568604,-0.174582798720131,0.138639759242596,1.75145888019743,-3.50116872810924,0.211615708938076,-3.45178831929018,-1.94306627097077,2.2889527648555,5.17702797301749,..,..,..,..,..,..,..,..,..,..,..,..,..,19.7857720899622,23.4985369430055,21.3033457890387,18.8233635111302,0.287169379874169,6.87361929280343,8.09495300569721,5.3237110694236,0.517147116303439,-3.8772158836163,-14.4205446442816,-14.4962877563746,-11.6217683736912,-8.68941296193564,-8.76373598794008,-11.0309095376359,-2.42326388144806,8.62297009518782,2.62033732399996,-1.0224994485325,..
American Samoa,ASM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
