"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_IR(9.0.0)","MDV.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Maldives","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4"
"IMF.STA:MFS_IR(9.0.0)","ZAF.S13BOND_RT_PT_A_PT.A","OBS_VALUE","South Africa","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","4.75","5.145833333333332","5.25","5.293333333","5.773333332333332","5.386666666249998","4.75","4.770833333333332","5.604166666666665","6.25","6.5","6.5","6.5","7.145833333333332","8.375","8.353333333083335","7.832499999833332","8.958333333333332","9.708333333333332","10.43666666633333","11.00833333283333","10.39583333283333","9.259999999166665","10.08583333291666","12.98749999925","13.5083333325","12.66499999975","15.226666666","16.79166666608334","16.365833333","15.29666666666667","16.37166666666667","16.90083333333333","16.15083333333334","16.34416666666667","15.44","13.9675","14.83166666666667","16.10666666666666","15.48333333333333","14.6975","15.1225","14.90166666666666","13.78666666666666","11.40666666666667","11.50083333333333","9.615833333333335","9.526666666666665","8.066666666666668","7.937499999999998","7.985","9.100000000000002","8.703333333333335","8.615","8.52","7.9","7.722499999999998","8.25","8.165833333333332","9.020833333333332","9.066666666666668","9.130833333333335","9.077499999999998","10.11583333333333","9.81","10.83416666666666","11.63166666666666","11.17416666666666","10.28083333333333"
"IMF.STA:MFS_IR(9.0.0)","MYS.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Malaysia","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.804875","6.35","5.114166666666668","6.505","6.390833333333332","6.874958333333332","7.6565","5.627666666666668","5.106833333333335","3.536666666666665","3.467333333333335","3.598333333333335","4.087666666666668","3.568166666666665","4.0065","3.571916666666668","3.729166666666668","3.589416666666668","3.518916666666665","3.448083333333332","3.252166666666668","3.4245","3.692416666666665","3.671333333333332","3.45325","3.64075","3.745416666666668","3.431833333333332","2.4205","2.711166666666668","3.758916666666668","3.604166666666668","3.607333333333335","3.310416666666668"
"IMF.STA:MFS_IR(9.0.0)","MAR.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Morocco","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","8.91","7.135833333333332","6.9875","7.1225","6.95","6.16","5.6675","5.350833333333335","4.04","3.653333333333333","","","4.335555555555557","4.359583333333332","4.571666666666667","5.6925","5.10762222222222","4.014166666666668","3.494166666666666","3.829166666666668","3.699875","3.38575","2.8789","2.637583333333332","2.6985","4.763041666666668","3.8375","3.193708333333332"
"IMF.STA:MFS_IR(9.0.0)","ISL.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Iceland","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.749166666666668","6.8","5.015","7.180833333333335","5.614166666666668","5.491666666666668","4.733333333333332","4.279166666666668","5.349166666666668","5.328333333333332","5.2325","4.414166666666668","3.879423105","3.730293533333332","4.3173818525","4.96211657","4.300186665","4.299524654166665","3.493322160833332","2.94615757","2.278981266666667","2.551666666666668","3.1975","2.660833333333332","2.781666666666668","2.216666666666667","1.8425","1.085833333333334","0.3403551158333332","0.7780473475","0.835490245","2.367050662555555","2.546075610583332","2.55836131275"
"IMF.STA:MFS_IR(9.0.0)","KOR.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Korea, Republic of","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","16.80555555555556","20.96666666666667","21.1","21.61666666666667","21.46666666666666","21.6","25.18333333333332","28.75833333333332","23.61666666666666","17.41666666666666","13.075","14.31666666666667","13.575","11.56666666666666","12.425","13.0375","14.74166666666666","15.025","16.45833333333333","15.08333333333333","12.08083333333333","12.3","12.4","10.89666666666666","11.7","12.79666666666667","8.716666666666668","8.502500000000002","6.660833333333332","6.467499999999998","4.928333333333332","4.453333333333332","4.6625","5.065833333333332","5.429166666666665","5.790833333333332","5.100833333333335","4.585833333333335","4.105833333333332","3.433333333333335","3.164833333333332","2.9805","2.10725","1.659416666666666","2.166","2.454666666666667","1.677833333333334","1.372416666666666","1.853416666666667","3.47","3.81625","3.309166666666668","2.8505"
"IMF.STA:MFS_IR(9.0.0)","PAK.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Pakistan","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0211111111111","13.1483333333333","13.3066666666667","13.01","13","13","13.0483333333333","13","","","10.4933","7.92874166666667","3.40750833333333","4.63016666666667","6.19175","8.46916666666667","9.49333333333333","12.105","12.725","12.9412166666667","13.3657458333333","11.7269291666667","10.86325","11.8749083333333","7.71905","6.31819444444444","6.39179444444444","9.7341","12.6719166666667","8.95338333333333","8.83232222222222","","","",""
"IMF.STA:MFS_IR(9.0.0)","SLB.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Solomon Islands","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","11","11","11","12","13","12.3333333333333","12","12.4375","12.75","12.9166666666667","13","13","13","13","11.5","11.75","12.5","8.33865326553191","6.95153768737588","6.95153768737588","6.95153768737588","6.95153768737588","4.98907159939229","2.99353791211355","3.24353791211355","3.24117930403785","3.24","3.24","3.24","3.24","3.24","3.24","3.24","3.24","3.24","3.24","3.24","3.24","","5","","","",""
"IMF.STA:MFS_IR(9.0.0)","VUT.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Vanuatu","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.583333333333332","8.5","8.4475","8.2375","7.9125","7.639166666666665","7.818333333333335","7.81151212121212","7.803276770707068","7.69681818181818","7.58","7.589166666666668","7.59","7.12","6.18","6.138333333333332","5.768333333333332","5.87","5.87"
"IMF.STA:MFS_IR(9.0.0)","MUS.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Mauritius","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.17","9.605","7.6075","8.38625","9.86","10.1525","10.1225","8.90125","6.93","6.735","6.0775","4.46375","5.0675","4.485","4.116666666666668","3.63625","4.8775","4.195833333333332","2.186666666666667","2.399583333333334","3.122777777777778","4.331666666666667","4.80125","5.540833333333332"
