"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"IMF.MCD:MCDREO(8.0.0)","GX4923.PCPI_PCH.A","OBS_VALUE","Fragile and conflict-affected states","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.27140872890041","3.70893767199435","9.89830630743455","8.05823009341489","6.30931967851142","12.5497778138586","16.2360444273467","13.0005342208628","11.4072039798141","2.23725658473538","5.61241378435525","11.078551415502","10.9648305111267","8.91202282829394","8.26966914628739","5.46712329412256","6.92877441614287","10.9041955958363","12.9108376003587","8.04204096777291","29.2386826589577","42.0719120693403","27.2395485246981","17.1413276828222","17.60482360473","10.4170092498839","8.54296866227178","7.6828237652125","6.63411135007495","5.70410923857652","5.34873072420935"
"IMF.MCD:MCDREO(8.0.0)","AZE.GGD_GDP.A","OBS_VALUE","Azerbaijan, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","13.1332444154395","12.9543231243886","11.885189356946","10.6589184183146","9.70997950764279","6.85465520049407","5.29664837592434","4.00331790933242","3.22076518628649","4.72618237939295","4.98086593665371","4.96686369571061","5.83060151213747","6.1788358083256","8.53262389835649","17.980392239794","20.6083256158027","22.5086084580411","18.6853868051741","17.656008459489","21.3272323193911","26.3487734326718","17.3241264824849","21.8068292936479","21.6722971101103","22.3867082594622","23.5058260768785","23.8655768243783","23.897539102671","24.5163673309406","24.9446328789914"
"IMF.MCD:MCDREO(8.0.0)","BHR.GGD_GDP.A","OBS_VALUE","Bahrain, Kingdom of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","28.7872170492259","31.553690323464","34.8328081589385","42.270040581652","42.6301486790669","63.1798210286071","77.36628615203","84.0287726070484","90.3844366952646","97.1293905374741","125.70038478807","122.300131805844","111.647635398354","123.020301376993","133.379233410451","142.485800226308","146.358733499055","149.817874478694","152.666053228631","155.014313780889","157.319842367496"
"IMF.MCD:MCDREO(8.0.0)","QAT.PCPI_PCH.A","OBS_VALUE","Qatar","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.55642023346308","1.72413793103451","0.240000000000023","2.25988700564971","6.81399631675875","8.96551724137931","11.7088607594937","13.7393767705382","15.0684931506849","-4.87012987012987","-2.38907849829352","1.98135198135198","1.82857142857142","3.14253647586982","4.24374319912948","0.939457202505225","2.68872802481902","0.604229607250764","0.100100100100094","-0.900000000000006","-2.52270433905146","2.27743271221532","4.95951417004049","3.08582449373192","1.21608980355472","0.136380486038816","2.62074847110999","2.30290105831639","1.98610798580132","1.98349819845536","2.03263958391966"
"IMF.MCD:MCDREO(8.0.0)","G450.PCPI_PCH.A","OBS_VALUE","Gulf Cooperation Council (GCC)","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","-0.384660793912355","-0.0825461953527614","0.735942132107447","1.19869224104697","1.79845945137992","2.41047785227506","4.31042215019209","7.02259500870024","8.46778993741042","1.28815908548096","2.40318688158252","2.83653722839506","2.27653597394693","2.81223273037019","2.43669923369068","1.89502415328925","2.03898044027385","0.220289682876788","2.15388805842801","-1.53207101567658","1.19684837614669","2.22519481579218","3.25065257446921","2.20623317438017","1.63975668108413","1.73924886333024","2.01101903011147","2.01764931069423","1.99080855238819","1.98750933777576","1.98631872509495"
"IMF.MCD:MCDREO(8.0.0)","GX4926.PCPI_PCH.A","OBS_VALUE","Conflict-affected states","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.27140872890041","3.70893767199433","9.89830630743457","8.05823009341488","7.79755215748056","14.7689909172826","19.4883650008284","14.4471335672266","11.6032293395996","2.1999056038247","6.17849436647214","10.5874788101664","11.9212751945124","9.8533080987031","8.92459577660948","4.98413201387041","5.20650142292951","9.06964773688074","12.8779435831341","9.21017161513843","31.8419352668931","46.3486452136982","29.2910359807847","18.6056108185012","19.2449565479376","11.525104665746","9.43366195818181","8.4379082024204","7.23836021939013","6.18316472532046","5.77711523954198"
"IMF.MCD:MCDREO(8.0.0)","GX4801.GGD_GDP.A","OBS_VALUE","Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters","Gross debt, General government, Percent of GDP","Annual","Units","18.1510201530256","24.7024732403377","29.9666507195732","26.4315540124915","57.0203165980326","44.2060562851109","33.1454198977642","27.2315497820661","20.2372280874926","21.976161696001","18.3078947445905","15.1676024820839","16.3628405341901","14.6308616855793","13.8279175892328","30.0660211400739","42.7801262189968","41.7981009384826","40.6224664917544","42.551150049085","55.0775316309769","48.3664626180835","39.2269021344013","37.9752274605482","41.5220001735483","46.5392383218422","50.6036711585756","53.262768253834","55.6368479421962","57.696984598195","59.4319452981473"
"IMF.MCD:MCDREO(8.0.0)","SYR.PCPI_PCH.A","OBS_VALUE","Syrian Arab Republic","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","-3.89999999999973","3.40103170254299","-0.517757331072955","5.79682944905864","4.43314136719795","7.24034939348542","10.3902024463378","4.67712242690767","15.1525399984096","2.80373140883554","4.39801405826349","","","","","","","","","","","","","","","","","","","",""
"IMF.MCD:MCDREO(8.0.0)","GEO.PCPI_PCH.A","OBS_VALUE","Georgia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.02435581815197","4.68768439766217","5.57938510567467","4.78522035951888","5.65640419471611","8.24705369352326","9.16096508394495","9.24489745592402","9.99948761552747","1.72751461137912","7.11017897486098","8.54293333333329","-0.943658853270954","-0.512058410947092","3.06881210379542","4.00357820695098","2.1349271393912","6.03531725272118","2.6152447139767","4.85289821696731","5.20246488975333","9.56691433824761","11.8981654203199","2.48776056578714","1.10971758022096","3.9203076133852","3.39848167702494","2.99999999999963","3.00000000000049","3.00000000000014","3.00000000000009"
"IMF.MCD:MCDREO(8.0.0)","TUN.PCPI_PCH.A","OBS_VALUE","Tunisia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","1.94489465153982","2.71405859641143","2.71973466003317","3.69174469917122","1.96180195142213","4.14333706606941","3.4213098729227","4.91493383742917","3.54054054054052","4.36129631007367","3.24002842009521","4.61184432206645","5.31623531326696","4.62555099534015","4.43737127321507","3.629399373844","5.30884839565865","7.30759176031632","6.72182691942926","5.6349001527862","5.70673659316823","8.30835086730011","9.32278028502772","7.0068616985597","5.90486225353559","6.09653439016459","6.68987493257546","7.09425636210336","7.77860486007939","8.75614823099626"
