Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Albania,ALB,Broad money (current LCU),FM.LBL.BMNY.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70774400000,107449600000,154552000000,198546800000,239525582000,292870584000,328100755000,393413986960.13,408129153406.365,443527430907.014,503231628092.823,574314175624.68,666470000000,757610000000,815700000000,871470000000,980280000000,1070150000000,1123410000000,1148980000000,1195090000000,1216180000000,1263460000000,1266930000000,1264130000000,1318660000000,1456990000000,1582310000000,1659293467665.47,1698230000000,1785250000000,..
Albania,ALB,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.34515406672949,4.36920790345575,4.57355523832771,3.95244976248094,3.79158111360769,4.05403192305158,3.52519090130135,3.55382067363078,3.35470946219529,3.53685198016712,3.53150341746173,3.9946056839828,3.74753883523348,3.87525541124283,4.11326977554731,3.87323959910094,3.71220920368465,4.29168565388407,3.99414674503638,3.92076454267118,4.25106858010078,3.07634356190395,3.27397366862978,2.9642776366001,3.00652397780485,3.18947331160269,2.78365482017412,2.71273402231851,2.78718351486673,2.61383447970968,2.94327719151818,..
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.8198670705792,43.8367383405801,28.4660179098297,20.6393565647998,22.2711083945931,12.0292623857369,19.9064558568693,3.74037704148182,8.67330285161073,13.4612186361763,14.1252146255691,16.0462388509011,13.6750341350698,7.66753342748908,6.83707245310776,12.4857998554167,9.16778879503815,4.97687240106527,2.27610578506511,4.01312468450278,1.76472064865408,3.88758243023237,0.274642647966695,-0.221006685452235,4.31363862893848,10.4901945914792,8.60129444951578,4.86525824051355,2.34657298984679,5.12415868286392,..
Albania,ALB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.7649557954901,39.9003561002881,45.7254020794631,59.0068723402781,60.9371368808022,64.5783078882982,63.5599468122678,67.4664768586027,64.3805252433391,63.2967127997241,66.1759603765893,69.6480677719623,74.2421409522518,75.3629870166826,73.3334018869234,74.3824850094564,78.0331538048733,81.7533775274234,84.7935078469227,84.968214908499,85.2116447508147,84.1762421576985,84.8926416816837,80.2333904511715,76.1147973097136,77.0228458919593,87.9833118311654,84.7663849065875,77.1857276233038,71.8287505653681,70.9045999725641,..
Algeria,DZA,Broad money (current LCU),FM.LBL.BMNY.CN,11621000000,13075000000,13925000000,18139000000,20362000000,25770000000,33748000000,43604000000,51951000000,67459000000,79689000000,93539000000,109154000000,137890000000,165926000000,194717000000,223860000000,227016000000,257896000000,292965000000,308147000000,343324000000,414745000000,544456000000,584183000000,675928000000,739895000000,848250000000,1003136000000,1199476000000,1366769000000,1559914000000,2403069491382.28,2836874368257.76,3299459519201.01,3644293407790.02,4070442630560.55,4870071993159.82,5994607617030.44,6955967773528.56,7292694702848.37,8280740465950.38,9929187740063.12,11015134770498,11941507586741.9,13663911696251.2,13704511417483.3,13816309327311.7,14974234178039.3,16636712469882.2,16510684196822.3,17740006563278.7,20078806213655.1,22955346742900,24330816617059.6,26528942373664.1,..
Algeria,DZA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,5.73227423629949,7.51777948292236,5.27532094175162,6.32398134154585,3.36673180135658,2.49077181356519,4.50758845220244,4.18511097670834,4.83581381020514,5.26676792518442,3.74840209978583,3.45073646397992,4.27615061912269,6.03827936001554,8.64008899542998,12.2666238883308,9.58641996056559,12.564025993063,12.2440820246976,15.5243564119651,13.1250661025824,14.1773380912513,6.48895021530764,7.5157968138585,6.84511387769732,4.00541202946923,3.72775288364815,2.46066101834693,1.79822059643744,2.41597164645109,3.34035889255215,1.52898301268327,1.58581867955714,1.41554912481231,1.20242347615537,1.10682407395966,0.938853876497998,0.822926454394913,0.752457633604422,0.727259834975636,0.647176470001994,0.653059417024057,0.711358832156893,0.708245839138683,0.746918371285358,0.90996001509132,0.903773908748966,1.04515254639206,1.28691023941118,1.63292252375782,1.92676944135669,2.35437798139962,2.64469529690357,2.2499365300941,2.20533256688638,2.38411570925986,..
Algeria,DZA,Broad money growth (annual %),FM.LBL.BMNY.ZG,14.3799212598425,12.5118320282248,6.50095602294455,30.262118491921,12.2553613760406,26.5592770847657,30.9584788513776,29.2046936114733,19.1427391982387,29.8512059440627,18.129530529655,17.380065002698,16.6935716652947,26.326108067501,20.3321488142722,17.3517110037004,14.9668493249177,1.40980970249263,13.6025654579413,13.598117070447,5.18218899868585,11.4156555150626,20.8027985226783,31.2748797453857,7.29664105088382,15.7048390658407,9.46358191996781,14.6446455240271,18.2594753905099,19.5726202628557,13.9471735991383,14.131502836251,54.0514086919074,18.0521153645852,16.3061556803216,10.4512234983418,11.6936035353135,19.6447766293454,23.090739222132,16.0370822898722,4.84083509704069,13.5484317301271,19.9070032552161,10.9369170859084,8.40999983699717,14.4236738703043,0.297131027590294,0.815774502444313,8.38085499749667,11.1022592012153,-0.757531112520278,7.44561734572452,13.1837586532671,14.3262527594327,5.99193682223523,9.03432791098051,..
Algeria,DZA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,55.289875095029,54.4530199147167,55.8287128742167,59.8281620667895,59.0119984127216,46.661814513953,54.9243576304404,59.0701695307905,59.7369461825044,64.5176801870692,62.2099467769545,57.5624609008466,57.0292576512859,66.4210042304009,70.9995721921261,72.7641994560201,76.8486054333589,75.7983276404649,79.6713009069283,83.824030833102,72.7963609036179,61.771140409131,49.1113098506207,51.9419948112575,50.1014581091891,45.3186722525255,37.1694457949497,33.0058364834078,36.0814341402831,42.3768223541164,42.2077031731846,37.8297248414823,52.3817644227651,57.8750799363848,58.0159636711519,55.0218644144851,51.8925610676587,54.4649954975876,60.7173627576789,59.7094462183175,66.7819216878756,62.615639276869,62.3509795811349,62.5440245522635,65.5009854719817,70.9674793280753,72.5912032929841,69.8380710329262,71.0633951979821,73.341677611896,71.5054716604823,84.871788930535,79.8260317736638,71.6650029155711,72.2439133266621,73.4801999906217,..
Angola,AGO,Broad money (current LCU),FM.LBL.BMNY.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5478652.043,230408701.1,396174648.9,624561942.9,3923462686.65,15840411639.28,41660774283.56,106793512283.318,179518093989.351,266677656751.023,428566980082.89,685068282991.18,1023638868705.59,2094018359082.65,2543723059447.95,2678230070993.43,3673111017825.33,3853026880550.06,4398099013490.82,5110115937912.13,5711899207270.5,6481191627242.24,6521728175616.89,7853990709603.33,10219150743838.9,12702482594317.2,11518313051477.5,11355539908168.4,15643949041561.6,16420421118822.3,..
Angola,AGO,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.85070635046276,3.7351757012538,4.40676487112978,7.85372277364175,2.86101490853613,1.31666538964821,2.58066856998633,6.53267502916581,3.79408344537854,2.313852225834,1.53809584683872,1.04602424028709,1.19185292581679,1.56176567407122,2.34672086431531,1.48084560742016,1.4461219345169,1.29515628525042,1.4003025705853,1.79440261785124,1.55748655885927,0.872866656480826,1.35879987989402,1.58002384399661,1.46236154074648,1.41014129233772,1.18883470494548,1.66374681745562,1.53531020950452,1.14257083076394,..
