"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_FMP(3.0.0)","BRA.EQTS.PA_IX.A","OBS_VALUE","Brazil","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.656212738287817","5.788684069057947","8.711149950081875","15.37689174827391","13.77851959936679","16.41706283242621","24.14783568390307","20.87062659013378","17.07658158702476","21.43060637515141","33.17536249476663","40.95726364449376","56.65248810264056","79.13323308419688","82.21502696569645","78.45902873946204","99.99999999999999","91.1397187243751","88.62086751011368","79.84481161172365","78.22776042273095","73.98635117090825","78.93715890313901","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","JPN.EQTS.PA_IX.A","OBS_VALUE","Japan","Equities","Period average, Index","Annual","Units","","","","","","","","5.562434723623671","5.833890044025634","8.509865542524864","10.9904120286416","12.45674121876382","11.14594604759172","12.20391610756594","10.77945784203841","10.36921687249598","12.40066240736175","12.46699724305836","13.42701756689468","17.05539194002579","18.45802086952267","20.28058224099775","31.88767301153568","40.92586494027986","34.68719126064418","35.19020690814743","39.22449402038975","42.53944805642696","46.87454718231262","50.81163729417854","53.53202420034065","62.26582862091291","61.99089189760916","73.07087947746971","92.12017425832011","112.5233583302723","149.4876692478288","221.0427271615278","240.7156634894948","290.034155383472","244.9600579606508","208.0086376424318","154.0314643532589","172.0561917217889","180.5566480678215","155.8790541875629","181.2856726164153","157.4966832582166","133.0560129470545","156.4367372670048","174.613705435693","134.8996509188081","110.5506261820303","103.6577310663443","126.2964461464636","143.2887964696695","183.6589542618956","187.7914733860877","134.0357925836714","98.04279302590356","100","92.83442636833242","86.83502855691156","126.8115996575053","142.7376057358463","175.2015920360561","153.1468116937495","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","TUR.EQTS.PA_IX.A","OBS_VALUE","Türkiye, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002200557708224268","0.0100216481616583","0.008928377453113756","0.01513759442600134","0.06814720749927642","0.06279298428563521","0.06688574129710964","0.1746710201266932","0.3641993088566842","0.7048232160239846","1.149728329237072","3.413751803721464","5.468904507709307","9.595384715655004","24.31450875352422","17.00260212444926","18.51477772615111","20.70850950059254","33.47631351920337","49.38523846266513","67.04366284932979","81.20270990972809","63.20741798192035","63.10476266564627","99.99999999999998","102.1441841852785","107.192165453907","131.1411853997902","126.5220746073161","135.6679708825568","129.7960980047109","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","CAN.EQTS.PA_IX.A","OBS_VALUE","Canada","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.47302799663657","22.25183518615275","24.8364348373722","29.74175762394093","27.24118457175067","31.28554706556394","28.68177860916055","28.64975006899007","28.20703833356447","31.9257865392479","35.4093251530543","36.63895879290156","43.25020170030117","53.61812316429735","56.22552244228044","58.17189820898183","80.28055063462669","64.39886766136175","58.44175936802609","58.99511452379498","71.21340206370991","83.69074803306427","99.17027264881343","112.8417999773435","103.3779737947936","84.15527230877839","100","107.4230208516714","100.2456515931456","105.613510677073","121.2376193019625","118.7372464281483","116.2937173104341","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","MEX.EQTS.PA_IX.A","OBS_VALUE","Mexico","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8684508204044","15.75019334560703","19.99007971894006","18.3362322971781","19.59505068286912","21.27058244930769","31.58897135681546","42.88571894791454","62.37625774768518","89.16599276989932","80.40326222855736","75.99951550020136","100","107.9535563038653","119.372855610925","126.0400168899093","127.895799302141","131.8758364886771","136.8551282273673","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","FJI.EQTS.PA_IX.A","OBS_VALUE","Fiji, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3569388623497","96.02848445015277","97.76261867111794","97.14131788397959","104.4261984416189","118.5120461684827","131.7140577486961","106.7533244981447","106.0468662719464","112.4894721609866","100","88.88569898986373","88.85094510733138","91.14828402192654","91.60768963198069","111.7405318223752","141.1887690322211","172.7859082144573","272.2732504212703","394.7605125143518","400.6772604315009","355.8247492944283","340.4704834388297","352.2660291189262","378.3929642775446",""
"IMF.STA:MFS_FMP(3.0.0)","USA.EQTS.PA_IX.A","OBS_VALUE","United States","Equities","Period average, Index","Annual","Units","2.028601763216601","2.416195239448035","2.539247610365159","2.588109053551813","3.131970053218487","4.152003479384917","4.623643014482196","4.461373317603678","4.610982179875289","5.928248236763858","5.796239497661845","6.485668833987929","5.999891366912937","6.703755617756895","7.822441954567141","8.542624614459998","8.192865150779207","8.244735496017501","8.496795519315","8.222242976265229","7.06374534841327","8.297590572836335","8.916127050693746","8.664559393186516","7.122000818265047","7.526061194815465","9.143232725287631","8.390194418056848","7.692402678626202","7.919164478699902","8.359831860990284","8.749582368302896","8.293854845094295","11.16348771605968","11.052244308779","12.45666692587511","16.81319759147159","21.34515115434377","19.32714697861295","23.5295905978454","25.12415237861523","27.47243240032622","30.80141129229217","33.03122654179852","35.5794695969986","42.14425301661966","53.85905755717009","69.78602017214824","80.89355012537739","98.14380441667735","100.6761823519689","95.55764919562667","86.52912988414162","84.34546415831044","96.76057697455293","98.92020274529094","106.9950095210257","123.5133268961065","105.5314795631074","83.24402625481961","100","112.2253018964289","121.6103721933684","140.672845206057","157.3131520671742","164.971714366882","167.9490346699761","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","PNG.EQTS.PA_IX.A","OBS_VALUE","Papua New Guinea","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.93052533805213","21.47592540149606","25.65744157297512","30.22536644531984","46.0939889664794","62.74460150354436","72.43379166404171","86.7642382951464","79.2204782063496","100","103.2205368913542","74.34059815060865","62.9715321191115","55.21288219314842","51.72033488425312","","74.29324660212295","79.84770575060531","77.51044756439359","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","MNG.EQTS.PA_IX.A","OBS_VALUE","Mongolia","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0328672140942723","0.0595964048235545","0.102644521890821","0.0707990850093605","0.0611759224900277","0.0726016194538581","0.117972821596424","62.3086686926445","93.2048755239264","52.9957460528091","100","205.86746550782","183.242966552129","144.717617591789","150.790243815281","128.731241166525","110.76655719984","147.859005806691","192.985073904603","191.458596725247","166.563212560112","333.434606478076","","","",""
"IMF.STA:MFS_FMP(3.0.0)","RUS.EQTS.PA_IX.A","OBS_VALUE","Russian Federation","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.557472954163171","7.017652606711573","14.66230961622348","13.38001387350714","21.25662902382265","29.92285139188309","40.38584457599472","50.40662913640407","96.82744303725539","121.5217477299659","99.67362478227127","71.76652320937787","99.99999999999999","112.1320586540607","102.8118992400087","101.8965812281384","101.129118850634","119.1630778529046","136.475710502639","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","UZB.EQTS.PA_IX.A","OBS_VALUE","Uzbekistan, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1006.451666666666","1001.6875","1008.6675","577.8183333333332","627.7666666666665","878.955","707.3416666666668","628.3308333333332","662.9174999999998",""
"IMF.STA:MFS_FMP(3.0.0)","LKA.EQTS.EOP_IX.A","OBS_VALUE","Sri Lanka","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2832424384444","16.0054371167609","22.708401460547","28.9669628850475","41.0249145929622","38.291738686864","22.6499313579079","51.0189319561715","100","91.5391651735191","85.0378322661535","89.1033127532637","109.99235970566","103.897454290093","93.8574746039329","95.9822901895305","91.2068801830054","92.3648293290857","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","AUS.EQTS.EOP_IX.A","OBS_VALUE","Australia","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","3.296652375832654","4.55325351508529","4.104310200886451","4.374996610918102","4.372795908397526","5.316897289727442","5.343305719974431","4.694098476402579","4.790929387308212","6.558093511336002","8.571736317669048","9.161524593185176","7.634237043900887","6.888198889423392","9.075697194882451","6.467864707992124","4.469626819303165","6.498674543280285","6.368833094565915","6.786966573476599","7.984148744673512","10.53696366854927","15.03624715501981","12.54952372924218","10.22928432942763","16.3386158644525","15.30177863946725","21.15358678243277","31.04526679592009","27.79334906853241","31.34114473573295","34.76860827783866","26.97083368456545","34.80148360448453","32.66247997976903","45.80628845991739","40.30810081766838","46.42586192362808","51.09584422152912","55.13993087751833","59.28938717019303","66.43555593020315","67.56722582820534","72.12130152575233","63.37140689538902","69.53974542695776","85.36205007165135","100.3835454775352","119.487060608615","133.6044845317373","78.4434797268819","102.6426704880721","99.99999999999999","85.49692320660878","97.97268819017111","112.7918738936188","114.0310208210402","111.6054117845402","119.4006575065329","127.8161089100565","118.9911910983731","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","KEN.EQTS.EOP_IX.A","OBS_VALUE","Kenya","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.49244235888645","67.42949961647793","51.91242160357353","43.16541081983487","30.57009430131301","30.74606325858413","61.7603663763931","66.4526463023959","89.63226999954882","127.3665568740694","122.8360330280197","79.43825294409603","73.26264494878854","100","71.84744845011958","93.2414384334251","111.1537246762623","115.3420114605424","91.15981590939857","71.88128863421019","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","MNG.EQTS.EOP_IX.A","OBS_VALUE","Mongolia","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0215710674634462","0.0373657360385472","0.0428699317688513","0.0411242511448544","0.0268847668858464","0.0467840571122175","0.0932197125432323","69.4868700884361","37.8271807021906","41.9375994677438","100","146.936647558471","120.018550374293","110.447288955617","100.63977788332","87.3831709215769","84.3917367499988","140.495914242799","145.440625590709","132.941142196275","130.664283618827","300.895472231689","","","",""
"IMF.STA:MFS_FMP(3.0.0)","BWA.EQTS.EOP_IX.A","OBS_VALUE","Botswana","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.491708950964768","11.04781894107851","14.76265176346574","21.8199452981004","22.66511147773096","38.28789915389821","38.93409263146076","38.96356429344419","45.04455054935801","55.49934975221973","96.60857578583301","131.4018219412625","109.7078718965092","112.9262085720434","99.99999999999999","108.701157347488","117.1107167695316","140.7170502140984","148.2845621509011","165.3269795132965","146.5897076847748","138.1601886186367","122.4637997548706","116.8660551946533","107.272951251688","109.3041569077521","120.481245731287","139.2439349190855","156.7005148964437",""
"IMF.STA:MFS_FMP(3.0.0)","VEN.EQTS.EOP_IX.A","OBS_VALUE","Venezuela, República Bolivariana de","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0207943211381216","0.0192521635806823","0.0220583732547539","0.0285826709954925","0.0411358474881957","0.0571338979084818","0.146073135890349","0.274516622857186","0.270170351897842","0.193471945855812","1.25340305402456","2.04851629189492","1.3887153261249","1.53051346430957","2.06440247606468","3.09070358469211","10.2392269070389","13.2481857676022","7.32913921626997","8.29233725476391","10.4461370222789","10.05585608888","12.2673256037302","33.9834444358566","45.8422147754239","31.2145619173048","79.9443505304377","58.0120466714776","53.7058399037001","84.2940697960055","100","179.125372775686","721.540676073713","4188.37253616029","5905.85352526992","22327.5130457141","47767.6772391986","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","ZMB.EQTS.EOP_IX.A","OBS_VALUE","Zambia","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18810382817986","4.92626940119615","5.91297610111625","9.23387975495775","9.18333373689436","10.1319039201918","13.074469115475","23.1770139712826","37.5378338458558","55.6190827865081","106.949320806799","75.8456621225696","84.5931499552047","100","122.289583282888","112.430083052858","151.426184653381","186.465168648151","173.571999322017","126.999140415022","161.25027240369","158.853422601031","129.074251192523","118.414792125717","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","CAN.EQTS.EOP_IX.A","OBS_VALUE","Canada","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","4.202862111904737","3.214259678856702","4.074172705646415","4.129219041271362","4.051856623636301","5.213036757562548","4.678938528120495","5.227170276168953","6.348925331877333","6.554233286370378","5.872848915661575","6.688873647831397","7.906587856183265","7.585980144637966","7.048162568194227","7.368026410339189","9.124302064535134","8.83568073720433","6.214284970416314","7.092794732214454","7.524238984409985","7.88204016597214","9.737250450412922","13.48783996691269","16.87616508544828","14.53669582138803","14.56570672800118","18.98652257420469","17.85509721629193","21.57667582617855","22.80852355313682","23.50627305065304","25.21717267142842","29.53012745458305","24.22633863017938","26.12766881744106","24.92260038889492","32.14557226616837","31.34368105260496","35.06228418489023","44.0891393579812","49.83478660618512","48.2469229842255","62.58731167086457","66.45491184403736","57.19172936245929","49.20353903305904","61.1526851453744","68.78299990627245","83.85089286644122","96.02156328617697","102.8999004702742","66.85675009409948","87.37571801993867","100","88.93025629276319","92.48922505173612","101.3265423016212","108.8462436826891","96.77703704915935","113.7197040589978","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","PAK.EQTS.EOP_IX.A","OBS_VALUE","Pakistan","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","1.82601969874301","1.64152548047623","2.00814860651919","2.0461978660321","2.72701930906823","2.69078203871308","3.21962656607792","2.67343207290668","2.87297401808026","3.31799312773379","4.28432033717553","4.86284517971645","4.81574250769481","5.77571230134256","6.59986457449156","7.59046555357808","8.01265576082586","8.9156977852265","19.8254158248262","17.0828514893859","24.3257145752531","24.1501489037798","19.7526963159319","14.3382094536916","14.5878630496587","7.86228442431915","11.7189826374968","12.5397797123051","10.5890142283692","22.4697773999664","37.1937190891049","51.723191426713","79.4896385598289","83.5145219863489","117.090512257891","48.7837763652364","78.0012576461057","100","94.3871720097218","140.614566403215","210.116232451595","267.260444201935","272.958362930715","397.647153743909","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","FJI.EQTS.EOP_IX.A","OBS_VALUE","Fiji, Republic of","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.2290366175832","104.3318685139499","110.2422003478222","107.7698793197977","126.1134809074198","146.9545155021233","136.6645259123897","104.6147993855383","129.3887109312384","118.3194686190472","100","94.57692573239457","103.7609326182583","97.63504290627866","97.63504290627866","136.2810770428368","166.4145909864191","226.0671866055817","391.5162411708549","504.7736633712751","416.1549751177339","378.5253875045276","377.375521402981","401.7597048388306","440.3372736655257",""
