"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","COD.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Congo, Democratic Republic of the","Assets, Claims on Private sector","Domestic currency","Annual","Millions","10893.375","13591.851","27158.542","43940.86355395546","68101.67709005775","140071.6776268446","225439.2448260461","549128.7359546686","796818.5889890635","722383.1223747572","950432.4092441226","1286668.433264854","1570064.19555394","1888907.935885973","2194922.959843562","2761671.00840591","3024773.66822227","4453687.936833492","5095021.854625479","6683959.634081955","7921743.806060042","12041950.90414407","19173477.34849332","",""
"IMF.STA:MFS_DC(8.0.0)","ERI.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Eritrea, The State of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","2351.61558488","2695.743","3340.932","3907.19253013","4398.63860233","4674.59704483","4095.35423356","4569.27557049","4632.75638669","4718.4878053","5468.97405892","6540.72351725","7004.10576069","7430.08403064","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","BLR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Belarus, Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","140.0761751","236.40987901","428.35302968","692.8","1006.36918","1543.78246","2298.84802","3533.11711","4857.2131","6962.84635","11450.48988","11360.50663","14388.0122","17818.38328","21548.9826","20583.738","23530.734","28243.265","32619.109","39099.299","42639.92","","","",""
"IMF.STA:MFS_DC(8.0.0)","COG.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Congo, Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","100314","60328","73873","72020","77501","84783","91221","165960","221604","387152","526224","666521","784321","983650","1115058","1155903","1077583","1060384","1028609","1020352","1136358","1252198","1274608","",""
"IMF.STA:MFS_DC(8.0.0)","LKA.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Sri Lanka","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","426927.4","483134.5","556219.8","670190.65","791575.964297226","944865.776020479","1137426.48853564","1245453.10014558","1469458.88849948","1684216.11670981","2601349.88896506","3108028.63090688","3670477.010614","4145441.49329","4848223.5081275","5703734.746826","6837075.8319815","7701843.91822651","8389965.2765125","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","VEN.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Venezuela, República Bolivariana de","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Units","84433733.9882","111111012.223","148811877.84647","220507656.10164","201387998.06984","12704263597.7743","19322968465.9483","23740992170.78","26853493008","15399329632.76","15817198823.47","13701974962.18","19795725762.94","47770565576.85","90907058814.06","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","VUT.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Vanuatu","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","27643.076","23484.602","22553.047","25414.603","28522.53","29787.731","34408.632","39860.574","37697.359","34406.864","34874.291","34295.941","27296.383","30189.424","29592.664","29311.498","32150.231","33892.899","32252.136","26903.519","26635.845","24907.403","27855.453","31805.668",""
"IMF.STA:MFS_DC(8.0.0)","ERI.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Eritrea, The State of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","6971.02751438","8462.676","9587.478","10608.24976384","11534.6148496","12210.92002842","13158.92663664","14656.41478372","17397.42476931","20387.88826247","23635.18132237","26444.17753666","30278.56700668","33741.23354043","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","KOR.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Korea, Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","520624853","588080863","578502960","619801238.1595338","633531508.9775746","717957778","821513530","936267391","1015461526","1121962076","1213118551","1276590521","1305670963","1383076436","1428196999","1500549748","1555564663","1705437379","1857611332.000001","1898346734","2101933009","2351366768.20157","2463104428","2678032332.4",""
"IMF.STA:MFS_DC(8.0.0)","KGZ.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Kyrgyz Republic","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","660","654.597","548.018","685.086","2284.0593","3277.9013","6137.39839375","4568.71868409","11566.6300815","14253.63040556","19239.75437582","25454.52976543","37686.22703003","47696.61894172","60795.78733038","60159.82241899","69951.08098257","78517.89088145","94982.10230233","109131.34273763","126112.77318902","147151.38621912","178243.05500581","236652.57833057",""
