"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","MMR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Myanmar","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-8946.11579954518","-7971.36845707014","-9492.32883769667","-9899.63164195607","-10303.5330107341","-7076.7322432295","-1833.80222146493","2430.5186636329","5590.88815183125","6716.27986942926","24552.7666110242","5535437.09010208","5591478.49870181","7461226.55195009","10392950.2863576","9464007.27930939","9376638.07351027","10970556.6633113","10782366.299594","12745102.628245","","","","",""
"IMF.STA:MFS_DC(8.0.0)","TJK.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Tajikistan, Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-134.281158346898","-25.924691082484","-164.960198634591","173.975112623204","189.720449965811","549.436962594058","166.927983476059","-169.0129189197","349.383527095778","909.822455275831","845.199938597144","1494.63394470421","471.87054593581","-956.81739320811","-236.518222361213","1790.89308346248","8382.17603988852","9200.10127008546","12108.3826493744","23778.4830627173","24868.3184336918","34949.1106731209","34820.2544719959","",""
"IMF.STA:MFS_DC(8.0.0)","NIC.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Nicaragua","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-19711.64006331159","-20174.85971982282","-21206.80932175985","-17863.71902251024","-18887.70742519906","-19012.42348075925","-18320.27749342608","-19829.07818306304","-8710.95637141292","2362.30728215602","8028.05179506707","3825.24810736847","5361.25163531249","15783.64207387226","19076.75437827585","18858.02290748216","25025.16841635919","4057.29005406065","33503.40146695825","64398.38704226951","85830.2764845731","106664.3727951703","141955.2726186461","161923.4823868315",""
"IMF.STA:MFS_DC(8.0.0)","SYR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Syrian Arab Republic","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Units","591128839675.545","677246462956.378","701785828702.336","754612615108.733","757225130372.171","735494424648.379","707323399633.259","582976846435.19","599993026798.89","608319915462.024","513840045164.316","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","SDN.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Sudan","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-3380.65","-2399.2046706","-1543.365","621.8039912213","2763.4528966558","1335.881044964","809.650656710001","1016.9562717","-1107.33903153","-201.68389159","-1605.30979723","-211.860955043999","-3657.848224165","-3644.1894641407","-17936.920282622","-27738.621619608","-31054.8600570231","-222529.391128708","-220616.544397929","-453479.452534528","-2731371.96525057","-3958975.54435311","","",""
"IMF.STA:MFS_DC(8.0.0)","COG.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Congo, Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","17818.4481707315","29269.4380518682","-437.4471227931","50651.0569052983","458656.8320929916","1035062.736631673","1102411.698772543","1867790.435758666","1830930.752683904","2325303.720979498","3058686.143253267","3096263.599095064","3015377.263976959","2783546.422378705","1560731.595151787","471748.614562307","227134.102437262","271761.947900894","570702.943878312","579800.321050999","380954.469974029","279676.768732714","230966.35160136","",""
"IMF.STA:MFS_DC(8.0.0)","LKA.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Sri Lanka","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","67473.3470094517","101310.44199833","162507.402375791","163458.078813434","207813.074870897","171105.490126865","224430.838634235","88005.7073346235","422234.297524262","389100.128218797","131578.831187313","9444.65257185889","-147460.107983988","-51329.7257105876","-364124.473584384","-318753.609189621","60724.115963509","20464.315313356","212598.02715115","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","MRT.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Mauritania, Islamic Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","","","","","","","","","","","","20387.9798241523","21709.6951693679","14636.2687737149","11872.8035444054","13119.6364416226","15501.1370420018","14974.4480090499","23653.348436071","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","GAB.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Gabon","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-28319.0813918773","19355.267177198","64428.1066291093","274106.7402368387","524557.6482540408","697416.9969028388","1097304.179465247","967734.9297381342","973962.386044226","896436.255911361","1046542.122757631","1097427.730231705","1420204.501413277","1307522.933583554","1119099.207448753","459617.908535516","521199.184331779","794395.4959887435","481127.362309418","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","COM.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Comoros, Union of the","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","38577.10116380826","41017.52231097346","38552.66078615077","38011.05837366627","37798.63284182594","40165.86150369384","43155.61815984341","40203.18906521415","44114.09881731146","45974.36771258944","53860.409683168","62736.8273428303","56566.74131895652","57565.69639931392","79362.68833153084","68999.87744134881","76197.5904742899","80966.21270681508","82699.38001642124","107777.7098396684","120217.2670109922","108226.1143896034","120916.793151243","126476.8753313554",""
